feature,PC1,PC2,PC3
TTC_in_discrimination,0.015076025567313162,-0.6178033341563358,-0.02949538260738323
Total_errors_in_discrimination,0.01831044545369999,-0.6038279490006034,0.036221627036126774
TTC_in_reversal,-0.4615150986753427,-0.08006113813330878,-0.04566627936608828
Total_errors_in_reversal,-0.4739312672564893,0.02669637092760393,-0.04441941500780474
Perseverative_errors_in_reversal,-0.3911753322573359,0.2901218334151579,-0.0462309676518617
Regressive_errors_in_reversal,-0.27931544214733794,-0.23434844859666434,0.5195316775171344
O1_errors,-0.4482901890588441,0.13817631732295152,0.1901907224701889
O3_errors,-0.3304004123661453,-0.2867303823810303,-0.16097586028272232
O4_errors,-0.1437589154278623,-0.07868599505625672,-0.8121719755185062
